time_stamp, lat, lon, pitch, roll, heading, serial_number, cam_position
1.642760128384757757e+09,4.572495607348938762e+01,5.088603784068227220e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.483460968971252214e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760128385127783e+09,4.572495603124479402e+01,5.088603789310257142e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648345948886870929e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760128584762335e+09,4.572493323963344380e+01,5.088606617466409965e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.482660950660704202e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760128585132599e+09,4.572493319736162931e+01,5.088606622711817629e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648265946960449355e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760128784766912e+09,4.572491040577749288e+01,5.088609450864593597e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.481860932350159032e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760128785137415e+09,4.572491036347846460e+01,5.088609456113378116e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648185945034027213e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760128984771729e+09,4.572488757189432818e+01,5.088612284266154084e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.481060913085937614e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760128985142231e+09,4.572488752959529990e+01,5.088612289514938603e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648105943107605071e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760129184776068e+09,4.572486473806560525e+01,5.088615117660959086e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.480260895729065851e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760129185146570e+09,4.572486469576656987e+01,5.088615122909744493e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648025941371918179e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760129384780884e+09,4.572484190418243344e+01,5.088617951062520461e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.479460876464844432e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760129385150671e+09,4.572484186196506073e+01,5.088617956301172640e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647945939731598060e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760129584785223e+09,4.572481907035371052e+01,5.088620784457325463e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.478660859107972669e+01,2.101995000000000000e+07,1.000000000000000000e+00
